"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
6612;"Brasil, 22430-000";-21,053976;-49,6834459;1
5127;"Brasil, 22621-000";-21,053976;-49,6834459;1
13608;"Brasil, 22451-040";-22,9768502;-43,2305356857143;1
5126;"Brasil, 22270-010";-22,954116625;-43,1921182;1
53338;"Brasil, 18540-073";-23,52339255;-46,411155661919;1
22607;"Brasil, 90010-191";-30,0288935;-51,2301609428571;1
45933;"Brasil, 84070-440";-24,27040465;-53,8422499087899;1
52505;"Brasil, 86300-000";-23,1811882640288;-50,6475671510791;1
50818;"Brasil, 84261-220";-5,111289;-36,0864408;1
48401;"Brasil, 78520-000";-9,95194625714286;-54,9112310285714;1
19548;"Brasil, 79740-000";-22,3087475;-53,8227439;1
14348;"Brasil, 27260-140";-30,53916145;-52,5243476267173;1
21296;"Brasil, -";-10,3333333;-53,2;1
25742;"Brasil, 13880-000";-21,834567948718;-46,8995897769231;1
11818;"Brasil, 29700-011";-30,80991605;-53,9033387155367;1
33181;"Brasil, 58884-000";-6,3446259;-37,7371787333333;1
46090;"Brasil, 98005-104";-30,54324775;-52,5312525798276;1
43524;"Brasil, 98400-000";-27,3590549277778;-53,4009468833333;1
28672;"Brasil, 98300-000";-27,8896741583333;-53,3126945388889;1
29163;"Brasil, 98900-000";-27,9799854666667;-54,2497442133333;1
12006;"Brasil, 36307-330";-21,1364556090909;-44,2593415727273;1
29748;"Brasil, 36400-000";-20,664332525;-43,794005875;1
16616;"Brasil, 27600-000";-22,2420712285714;-43,6994245285714;1
49504;"Brasil, 45204-125";-30,53288285;-52,5252141213078;1
46420;"Brasil, 45204-125";-30,53288285;-52,5252141213078;1
6687;"Brasil, 88350-002";-30,8188884;-53,9038285201443;1
35875;"Brasil, 86706-430";2,6456817;-61,0729674;0
51582;"Brasil, 95680-000";-29,35290988;-50,8147676;1
26111;"Brasil, 88353-100";-20,0259457;-44,303323;1
39283;"Brasil, 89130-000";-26,8948101428571;-49,2281284428571;1
40234;"Brasil, 89600-000";-27,173661625;-51,51136395;1
34894;"Brasil, 85503-300";-30,5476967;-52,5171922660851;1
40771;"Brasil, 88210-000";-27,1423301733333;-48,56001984;1
30780;"Brasil, 89400-000";-26,3674789111111;-51,3416028888889;1
41056;"Brasil, 89285-470";-24,28391795;-53,8278526283619;1
49967;"Brasil, 90050-100";-30,0381849357143;-51,2216876714286;1
41137;"Brasil, 13660-000";-21,8618594;-47,48276275;1
21633;"Brasil, 80510-040";-25,4255673666667;-49,2727319666667;1
2492;"Brasil, 89600-000";-27,173661625;-51,51136395;1
2493;"Brasil, 89801-060";-23,2210055;-45,9012132;1
23267;"Brasil, 58700-070";-7,02601615;-37,276707575;1
24449;"Brasil, 45820-000";-16,3860206444444;-39,5798630111111;1
22208;"Brasil, 17800-000";-21,68315516;-51,07163365;1
13925;"Brasil, 30130-004";-19,925852;-43,9335243;1
36107;"Brasil, 60320-000";-3,72784380528846;-38,5651670697115;1
19658;"Brasil, 14940-000";-21,75598825;-48,8339340142857;1
30684;"Brasil, 14540-000";-20,04104215;-47,7608918;1
30196;"Brasil, 95150-000";-29,3734834369565;-51,1089323826087;1
21490;"Brasil, 68901-025";0,02909393;-51,0592953;0
40731;"Brasil, 40070-045";-8,1746134;-35,2595271;1
50120;"Brasil, 77827-271";-30,55259135;-52,5201972836742;1
44835;"Brasil, 65304-610";-3,7659157;-38,6040177;1
48010;"Brasil, 44440-900";-28,1123214;-54,7176521;1
6588;"Brasil, 44572-060";-23,2210055;-45,9012132;1
33275;"Brasil, 08115-100";-23,4937349;-46,4050017666667;1
15799;"Brasil, 25750-226";-30,53410795;-52,528569578144;1
27245;"Brasil, 14900-000";-21,5955932666667;-48,8162578666667;1
39722;"Brasil, 35300-040";-30,808998;-53,8904086979855;1
19674;"Brasil, 86870-000";-24,2436381777778;-51,6734189611111;1
19919;"Brasil, 15700-110";-34,4552326;-56,391589;1
12477;"Brasil, 29060-120";-15,935416;-57,0254782;1
19389;"Brasil, 69900-460";-8,20701885;-34,9231658443116;1
18500;"Brasil, 22050-900";-28,1123214;-54,7176521;1
31534;"Brasil, 22760-151";-30,54985585;-52,5404780861622;1
35519;"Brasil, 69402-292";-3,2772912;-60,6469359;1
24512;"Brasil, 48030-030";-12,1387944666667;-38,41235065;1
26897;"Brasil, 76876-678";-24,27425505;-53,846931975;1
44415;"Brasil, 76876-678";-24,27425505;-53,846931975;1
33806;"Brasil, 78600-000";-15,8885976277778;-52,2788242092593;1
46990;"Brasil, 76965-802";NA;NA;NA
52291;"Brasil, 85810-230";-24,9506749;-53,4768675;1
36481;"Brasil, 49505-330";-30,559435;-52,5166934618124;1
44324;"Brasil, 49505-330";-30,559435;-52,5166934618124;1
42427;"Brasil, 88306-806";-26,9479755;-48,6312984;1
38137;"Brasil, 76913-112";-3,7303249;-38,5398674;1
44416;"Brasil, 76913-112";-3,7303249;-38,5398674;1
41721;"Brasil, 99070-000";NA;NA;NA
43960;"Brasil, 99070-000";NA;NA;NA
49916;"Brasil, 76824-652";-9,9337777;-67,8200345;1
44417;"Brasil, 76940-000";-11,7202112;-61,7032288;1
